[2024-09-19T10:22:02.695-0500] {processor.py:186} INFO - Started process (PID=12851) to work on /Users/binhpham/Projects/dbt_project/venv/lib/python3.9/site-packages/airflow/example_dags/example_datasets.py
[2024-09-19T10:22:02.696-0500] {processor.py:914} INFO - Processing file /Users/binhpham/Projects/dbt_project/venv/lib/python3.9/site-packages/airflow/example_dags/example_datasets.py for tasks to queue
[2024-09-19T10:22:02.697-0500] {logging_mixin.py:190} INFO - [2024-09-19T10:22:02.697-0500] {dagbag.py:587} INFO - Filling up the DagBag from /Users/binhpham/Projects/dbt_project/venv/lib/python3.9/site-packages/airflow/example_dags/example_datasets.py
[2024-09-19T10:22:02.735-0500] {processor.py:925} INFO - DAG(s) 'dataset_produces_2', 'dataset_consumes_unknown_never_scheduled', 'conditional_dataset_and_time_based_timetable', 'consume_1_and_2_with_dataset_expressions', 'dataset_produces_1', 'consume_1_or_2_with_dataset_expressions', 'dataset_consumes_1_never_scheduled', 'dataset_consumes_1', 'consume_1_or_both_2_and_3_with_dataset_expressions', 'dataset_consumes_1_and_2' retrieved from /Users/binhpham/Projects/dbt_project/venv/lib/python3.9/site-packages/airflow/example_dags/example_datasets.py
[2024-09-19T10:22:02.790-0500] {logging_mixin.py:190} INFO - [2024-09-19T10:22:02.790-0500] {dag.py:3229} INFO - Sync 10 DAGs
[2024-09-19T10:22:02.800-0500] {logging_mixin.py:190} INFO - [2024-09-19T10:22:02.800-0500] {dag.py:4156} INFO - Setting next_dagrun for conditional_dataset_and_time_based_timetable to 2024-09-18 01:00:00+00:00, run_after=2024-09-18 01:00:00+00:00
[2024-09-19T10:22:02.801-0500] {logging_mixin.py:190} INFO - [2024-09-19T10:22:02.801-0500] {dag.py:4156} INFO - Setting next_dagrun for consume_1_and_2_with_dataset_expressions to None, run_after=None
[2024-09-19T10:22:02.802-0500] {logging_mixin.py:190} INFO - [2024-09-19T10:22:02.802-0500] {dag.py:4156} INFO - Setting next_dagrun for consume_1_or_2_with_dataset_expressions to None, run_after=None
[2024-09-19T10:22:02.802-0500] {logging_mixin.py:190} INFO - [2024-09-19T10:22:02.802-0500] {dag.py:4156} INFO - Setting next_dagrun for consume_1_or_both_2_and_3_with_dataset_expressions to None, run_after=None
[2024-09-19T10:22:02.803-0500] {logging_mixin.py:190} INFO - [2024-09-19T10:22:02.803-0500] {dag.py:4156} INFO - Setting next_dagrun for dataset_consumes_1 to None, run_after=None
[2024-09-19T10:22:02.803-0500] {logging_mixin.py:190} INFO - [2024-09-19T10:22:02.803-0500] {dag.py:4156} INFO - Setting next_dagrun for dataset_consumes_1_and_2 to None, run_after=None
[2024-09-19T10:22:02.803-0500] {logging_mixin.py:190} INFO - [2024-09-19T10:22:02.803-0500] {dag.py:4156} INFO - Setting next_dagrun for dataset_consumes_1_never_scheduled to None, run_after=None
[2024-09-19T10:22:02.804-0500] {logging_mixin.py:190} INFO - [2024-09-19T10:22:02.804-0500] {dag.py:4156} INFO - Setting next_dagrun for dataset_consumes_unknown_never_scheduled to None, run_after=None
[2024-09-19T10:22:02.804-0500] {logging_mixin.py:190} INFO - [2024-09-19T10:22:02.804-0500] {dag.py:4156} INFO - Setting next_dagrun for dataset_produces_1 to 2024-09-18 00:00:00+00:00, run_after=2024-09-19 00:00:00+00:00
[2024-09-19T10:22:02.805-0500] {logging_mixin.py:190} INFO - [2024-09-19T10:22:02.805-0500] {dag.py:4156} INFO - Setting next_dagrun for dataset_produces_2 to None, run_after=None
[2024-09-19T10:22:02.819-0500] {processor.py:208} INFO - Processing /Users/binhpham/Projects/dbt_project/venv/lib/python3.9/site-packages/airflow/example_dags/example_datasets.py took 0.126 seconds
